Year,Dist Name,N,P,K,Mean_NDVI,ANNUALRAIN,N_Class,P_Class,K_Class,NDVI_Class,Rainfall_Class,Fertility_Class
2007,Thane,82.17,10.63,11.42,0.437257374,2490.2,Medium,Low,Low,Medium,High,Medium
2008,Thane,72.36,8.23,7.46,0.41563173,2556.8,Medium,Low,Low,Medium,High,Medium
2009,Thane,71.42,13.38,7.13,0.417939919,1543.2,Medium,Medium,Low,Medium,Medium,Medium
2010,Thane,50.79,9.21,6.44,0.455601705,2685.4,Medium,Low,Low,Medium,High,Medium
2011,Thane,47.06,7.62,5.13,0.427267502,2759.6,Low,Low,Low,Medium,High,Low
2012,Thane,66.86,8.87,7.64,0.432827779,2146.2,Medium,Low,Low,Medium,High,Medium
2013,Thane,69.7,11.97,8.44,0.414726381,2999.5,Medium,Medium,Low,Medium,High,Medium
2014,Thane,78.23,10.28,8.74,0.447217965,2522.5,Medium,Low,Low,Medium,High,Medium
2015,Thane,78.06,10.66,7.62,0.465072332,1749.2,Medium,Low,Low,Medium,High,Medium
2016,Thane,65.44,10.2,7.65,0.41326644,2620.3,Medium,Low,Low,Medium,High,Medium
2017,Thane,65.85,10.38,8.04,0.45392695,3206.4,Medium,Low,Low,Medium,High,Medium
2007,Raigad,61.46,8.8,6.86,0.457673687,3601.2,Medium,Low,Low,Medium,High,Medium
2008,Raigad,52.64,11.43,4.62,0.445878665,3038.9,Medium,Medium,Low,Medium,High,Medium
2009,Raigad,55.59,7.6,14.25,0.44845246,1916.9,Medium,Low,Low,Medium,High,Medium
2010,Raigad,52.81,12.14,7.64,0.463488604,3248.4,Medium,Medium,Low,Medium,High,Medium
2011,Raigad,49.0,5.53,3.52,0.472193222,3712.0,Low,Low,Low,Medium,High,Low
2012,Raigad,53.08,8.84,4.72,0.456736186,2799.5,Medium,Low,Low,Medium,High,Medium
2013,Raigad,52.41,13.69,7.53,0.47896405,3155.4,Medium,Medium,Low,Medium,High,Medium
2014,Raigad,62.94,8.41,6.44,0.487548622,2228.2,Medium,Low,Low,Medium,High,Medium
2015,Raigad,59.02,9.23,6.55,0.493931954,1731.8,Medium,Low,Low,Medium,High,Medium
2016,Raigad,51.48,11.58,7.68,0.456548307,3363.1,Medium,Medium,Low,Medium,High,Medium
2017,Raigad,41.19,5.68,5.61,0.493234981,3273.6,Low,Low,Low,Medium,High,Low
2007,Ratnagiri,37.21,8.69,8.8,0.511026847,4133.0,Low,Low,Low,Medium,High,Low
2008,Ratnagiri,24.94,8.61,6.9,0.517808287,3354.3,Low,Low,Low,Medium,High,Low
2009,Ratnagiri,26.77,11.99,6.21,0.515724441,2836.6,Low,Medium,Low,Medium,High,Medium
2010,Ratnagiri,30.16,12.62,7.08,0.53837001,4129.8,Low,Medium,Low,Medium,High,Medium
2011,Ratnagiri,18.96,7.11,3.17,0.517232646,4677.8,Low,Low,Low,Medium,High,Low
2012,Ratnagiri,25.42,6.27,4.79,0.522628661,3586.3,Low,Low,Low,Medium,High,Low
2013,Ratnagiri,25.95,5.68,4.44,0.516263832,4158.5,Low,Low,Low,Medium,High,Low
2014,Ratnagiri,26.15,6.41,5.44,0.554704594,3024.8,Low,Low,Low,Medium,High,Low
2015,Ratnagiri,31.69,9.99,7.0,0.589599249,2150.6,Low,Low,Low,Medium,High,Low
2016,Ratnagiri,25.42,8.91,6.47,0.508133103,4062.4,Low,Low,Low,Medium,High,Low
2017,Ratnagiri,26.32,7.87,5.63,0.557116245,3335.3,Low,Low,Low,Medium,High,Low
2007,Nasik,76.93,38.8,21.58,0.386990637,1210.9,Medium,High,Medium,Low,Medium,Medium
2008,Nasik,85.38,52.0,21.75,0.350731728,1194.5,Medium,High,Medium,Low,Medium,Medium
2009,Nasik,93.24,54.31,26.44,0.369476314,670.4,High,High,Medium,Low,Medium,High
2010,Nasik,98.38,65.27,27.06,0.412999712,909.6,High,High,Medium,Medium,Medium,High
2011,Nasik,68.98,47.51,14.35,0.364357481,859.1,Medium,High,Low,Low,Medium,Medium
2012,Nasik,77.58,39.33,18.91,0.359644144,787.7,Medium,High,Low,Low,Medium,Medium
2013,Nasik,93.31,52.02,22.63,0.366727567,817.4,High,High,Medium,Low,Medium,High
2014,Nasik,90.61,48.14,26.44,0.38005176,591.4,High,High,Medium,Low,Medium,High
2015,Nasik,81.35,50.71,24.34,0.399091929,484.5,Medium,High,Medium,Low,Medium,Medium
2016,Nasik,89.92,48.97,22.7,0.364346555,808.1,Medium,High,Medium,Low,Medium,Medium
2017,Nasik,98.5,63.16,33.71,0.40313344,845.2,High,High,Medium,Medium,Medium,High
2007,Dhule,83.24,23.21,16.98,0.35553674,769.8,Medium,High,Low,Low,Medium,Medium
2008,Dhule,78.65,28.71,20.09,0.319836269,492.9,Medium,High,Medium,Low,Medium,Medium
2009,Dhule,83.3,32.47,24.61,0.345017595,548.3,Medium,High,Medium,Low,Medium,Medium
